test_number,date_time,B_n_slots,L_payload_size,R_random_seed,H,N,node_id,T_round,T_round_1slot,T_on_round,T_on_without_round,energy_savings
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,22,42175.0,14221.0,22369.0,33689.0,33.60147229065868
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,23,42205.0,14251.0,21484.0,33139.0,35.17004134101814
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,24,42144.0,14190.0,20660.0,32377.0,36.1892701609167
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,25,42144.0,14251.0,23529.0,34513.0,31.825688870860258
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,26,42175.0,14221.0,21514.0,34453.0,37.55551040547993
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,27,42144.0,14282.0,19927.0,34148.0,41.64519151926906
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,28,42144.0,14221.0,21606.0,31583.0,31.589779311655004
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,31,42175.0,14221.0,20904.0,28470.0,26.575342465753426
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,32,42144.0,14190.0,21514.0,31735.0,32.20734205136285
75263, 2019-10-20T11:32:01+02:00,5,8,28681,4,2,33,42144.0,14190.0,20874.0,30423.0,31.387437136377084
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,1,42175.0,14221.0,18493.0,28806.0,35.80156911754496
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,2,42175.0,14221.0,20111.0,30423.0,33.8954080794136
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,3,42175.0,14221.0,17883.0,29722.0,39.83244734540071
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,4,42175.0,14221.0,17181.0,27586.0,37.71840788805916
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,6,42175.0,14221.0,21270.0,32805.0,35.1623228166438
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,8,42175.0,14221.0,19989.0,29752.0,32.81460069911267
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,10,42144.0,14221.0,22857.0,36100.0,36.684210526315795
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,11,42144.0,14221.0,25115.0,38082.0,34.050207447087864
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,13,,,,,
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,15,41992.0,14068.0,17913.0,24625.0,27.256852791878174
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,16,42175.0,14221.0,17761.0,28013.0,36.597294113447326
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,17,42175.0,14251.0,25054.0,37625.0,33.41129568106312
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,18,42175.0,14221.0,20599.0,33078.0,37.725981014571616
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,19,42144.0,14190.0,26306.0,36954.0,28.814201439627645
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,20,42144.0,14221.0,21209.0,35856.0,40.849509147701916
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,22,42144.0,14190.0,20568.0,32835.0,37.35952489721334
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,23,42175.0,14312.0,22705.0,37198.0,38.961772138287
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,24,42144.0,14251.0,24108.0,32163.0,25.0443055685104
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,25,42175.0,14221.0,23712.0,35184.0,32.605729877216916
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,26,,,,,
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,27,42175.0,14221.0,21331.0,35276.0,39.53112597800204
75264, 2019-10-20T22:37:01+02:00,5,8,23004,4,2,28,42144.0,14221.0,22583.0,31278.0,27.799092013555853
